id,brand,model,model_year,milage,fuel_type,engine,transmission,price
0,MINI,Cooper S Base,2007,213000,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,4200
1,,LS V8,2002,143250,Gasoline,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,4999
2,,Silverado 2500 LT,2002,136731,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,13900
3,Genesis,G90 5.0 Ultimate,2017,19500,,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,45000
4,,,2021,7388,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,97500
5,Audi,A6 2.0T Sport,2018,40950,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,29950
6,Audi,A8 L 3.0T,2016,62200,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,28500
7,Chevrolet,Silverado 1500 1LZ,2016,102604,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,12500
8,Ford,F-150 XLT,2020,38352,,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,62890
9,BMW,,2015,74850,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,4000
10,Chevrolet,Camaro 1LT,2011,212500,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,7950
11,Tesla,Model S P100D,2015,81500,,Electric Motor Electric Fuel System,1-Speed A/T,19000
12,,Escalade ESV Platinum,2017,93971,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,51500
13,Audi,,2013,60000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,12300
14,,Rover Range Rover P530 SE SWB,2023,20000,,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,56900
15,Mercedes-Benz,AMG C 63 S,2017,41500,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,44900
16,GMC,Yukon Denali,2021,15000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,68500
17,Land,Rover Defender SE,2021,46100,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,55000
18,Toyota,Tundra SR5,2011,153250,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,9999
19,Mercedes-Benz,AMG C 63 Base,2019,16002,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,46900
20,Land,Rover Defender S,,7978,Gasoline,5.2L V10 40V PDI DOHC,8-Speed Automatic,41998
21,Hyundai,Equus Signature,2016,87092,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,16500
22,Ford,Mustang Premium,2012,154247,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,9900
23,Audi,A8 L 55,2018,51000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,76000
24,,XC70 T6 Platinum,2014,100680,,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,33687
25,Toyota,Sequoia Limited,2013,183000,,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,29000
26,Ford,F-250 XLT,2014,67100,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,25900
27,,G90 5.0 Ultimate,2017,39000,Gasoline,,8-Speed A/T,38000
